observation_date,DFEDTARU,rate_change,action
2020-01-01,1.75,,Unchanged
2020-03-04,1.25,-0.5,Cut
2020-03-16,0.25,-1.0,Cut
2022-03-17,0.5,0.25,Hike
2022-05-05,1.0,0.5,Hike
2022-06-16,1.75,0.75,Hike
2022-07-28,2.5,0.75,Hike
2022-09-22,3.25,0.75,Hike
2022-11-03,4.0,0.75,Hike
2022-12-15,4.5,0.5,Hike
2023-02-02,4.75,0.25,Hike
2023-03-23,5.0,0.25,Hike
2023-05-04,5.25,0.25,Hike
2023-07-27,5.5,0.25,Hike
2024-09-19,5.0,-0.5,Cut
2024-11-08,4.75,-0.25,Cut
2024-12-19,4.5,-0.25,Cut
