,date,net_sentiment,stock_name,sofr_rate,NewsCount,NewsTone,unemployment,Fed_Rate,RiskAppetite,Open,High,Low,Close,Volume,FOMC,Log_Volume,Intraday_Range,Close_Lag1,Log_Return,Log_Buzz,Sentiment_Lag1,Log_Buzz_Lag1,Volatility_Lag1,Return_Abs_Lag1
2,2020-01-02,0.6888888888888889,AAPL,1.54,513.0,0.006356260197349,5869.0,1.75,0.15339999999999998,74.06,75.15,73.8,75.09,135480400.0,0,18.724337545755937,0.018228463405586336,,,6.2422232654551655,,,,
3,2020-01-03,0.28316326530612246,AAPL,1.55,733.0,0.0069264589592589,5869.0,1.75,0.15339999999999998,74.29,75.14,74.13,74.36,146322800.0,0,18.801325704837964,0.013595369496083611,75.09,-0.009769231258549302,6.598509028614515,0.6888888888888889,6.2422232654551655,0.018228463405586336,
6,2020-01-06,0.4005305039787798,AAPL,1.55,539.0,0.0078397315382722,5869.0,1.75,0.15339999999999998,73.45,74.99,73.19,74.95,118387200.0,0,18.589471174908827,0.02450646698100657,74.36,0.007903061695363459,6.29156913955832,0.28316326530612246,6.598509028614515,0.013595369496083611,0.009769231258549302
7,2020-01-07,0.2971576227390181,AAPL,1.56,497.0,0.0016566776679601,5869.0,1.75,0.15339999999999998,74.96,75.22,74.37,74.6,108872000.0,0,18.50568344740739,0.01133938100168891,74.95,-0.004680717338891632,6.210600077024653,0.4005305039787798,6.29156913955832,0.02450646698100657,0.007903061695363459
8,2020-01-08,0.5986622073578596,AAPL,1.55,776.0,-0.0015559783301176,5869.0,1.75,0.15339999999999998,74.29,76.11,74.29,75.8,132079200.0,0,18.698912308193826,0.024498586616704905,74.6,0.015957785438610816,6.655440350367647,0.2971576227390181,6.210600077024653,0.01133938100168891,0.004680717338891632
9,2020-01-09,0.629080118694362,AAPL,1.55,675.0,-0.0007707601185465,5869.0,1.75,0.031799999999999995,76.81,77.61,76.55,77.41,170108400.0,0,18.95194644474146,0.01380028641924228,75.8,0.021017678568296037,6.516193076042964,0.5986622073578596,6.655440350367647,0.024498586616704905,0.015957785438610816
10,2020-01-10,0.4493783303730018,AAPL,1.55,563.0,-0.0018661526408502,5869.0,1.75,0.031799999999999995,77.65,78.17,77.06,77.58,140644800.0,0,18.761748128121678,0.014294913069633616,77.41,0.0021936907951989933,6.335054251498059,0.629080118694362,6.516193076042964,0.01380028641924228,0.021017678568296037
13,2020-01-13,0.5642023346303502,AAPL,1.54,659.0,-0.0026931550295035,5869.0,1.75,0.031799999999999995,77.91,79.27,77.79,79.24,121532000.0,0,18.615688168781787,0.01899627775394721,77.58,0.02117155981852903,6.492239835020471,0.4493783303730018,6.335054251498059,0.014294913069633616,0.0021936907951989933
14,2020-01-14,0.37858220211161386,AAPL,1.55,843.0,-0.0099786771228173,5869.0,1.75,0.031799999999999995,79.18,79.39,78.04,78.17,161954400.0,0,18.902825378266407,0.01704976003826088,79.24,-0.013595279598111076,6.738152494595957,0.5642023346303502,6.492239835020471,0.01899627775394721,0.02117155981852903
15,2020-01-15,0.32608695652173914,AAPL,1.56,1074.0,-0.0163149524862387,5869.0,1.75,0.031799999999999995,77.96,78.88,77.39,77.83,121923600.0,0,18.618905185227593,0.01911236531309481,78.17,-0.004358981260942246,6.980075940561763,0.37858220211161386,6.738152494595957,0.01704976003826088,0.013595279598111076
